"pedigree","parent1","parent2","yield","twt","prot","ht"
"MN11051/MN10328","MN11051","MN10328",76.44800189,63.832431532858,15.2603709218178,82.1289688051024
"MN11051/MN10336","MN11051","MN10336",82.873033355,63.332431532858,15.6103709218178,81.2789688051024
"MN11051/MN10369","MN11051","MN10369",73.906544995,63.582431532858,14.9103709218178,79.4789688051024
"MN11051/MN10378","MN11051","MN10378",84.186595345,63.432431532858,14.5103709218178,80.1289688051024
"MN11051/MN10382","MN11051","MN10382",77.44745123,64.182431532858,14.5103709218178,79.6289688051024
"MN11051/MN10389","MN11051","MN10389",82.90158905,62.982431532858,14.2103709218178,80.7789688051024
"MN11051/MN10412","MN11051","MN10412",81.53091567,63.832431532858,14.4603709218178,81.4789688051024
"MN11051/MN10431","MN11051","MN10431",78.903791695,63.782431532858,15.2103709218178,83.2789688051024
"MN11051/MN09028","MN11051","MN09028",79.10368156,63.582431532858,14.7103709218178,85.4789688051024
"MN11051/MN09136","MN11051","MN09136",81.302470105,63.282431532858,15.3103709218178,78.4789688051024
"MN11051/MN09175","MN11051","MN09175",84.472152295,63.582431532858,15.0103709218178,85.1289688051024
"MN11051/MN09229","MN11051","MN09229",78.161343615,63.432431532858,15.4603709218178,80.6289688051024
"MN11051/MN09245","MN11051","MN09245",83.672592825,63.832431532858,15.3103709218178,84.7789688051024
"MN11051/MN09246","MN11051","MN09246",87.07072058,64.282431532858,14.6103709218178,81.1289688051024
"MN11051/Glenn","MN11051","Glenn",74.905994335,64.882431532858,14.7103709218178,85.7789688051024
"MN11051/Norden","MN11051","Norden",75.048772815,63.632431532858,15.3103709218178,82.1289688051024
"MN11051/Linkert","MN11051","Linkert",72.16464758,62.932431532858,15.3603709218178,77.4789688051024
"MN11051/Oklee","MN11051","Oklee",80.98835746,63.682431532858,15.1103709218178,83.7789688051024
"MN11051/Prosper","MN11051","Prosper",86.18549402,63.332431532858,14.1103709218178,87.1289688051024
"MN11051/MN11029","MN11051","MN11029",79.4749056,63.482431532858,14.5103709218178,81.6289688051024
"MN11051/MN11052","MN11051","MN11052",77.019115795,62.782431532858,15.4603709218178,84.4789688051024
"MN11051/MN11064","MN11051","MN11064",82.47325362,62.582431532858,14.2103709218178,77.2789688051024
"MN11051/MN11101","MN11051","MN11101",80.67424481,64.282431532858,14.4103709218178,79.4789688051024
"MN11051/MN11188","MN11051","MN11188",79.646239775,62.232431532858,14.9103709218178,82.1289688051024
"MN11051/MN11234","MN11051","MN11234",81.302470105,63.282431532858,14.6103709218178,81.4789688051024
"MN11051/MN11315","MN11051","MN11315",72.307426055,62.032431532858,15.4103709218178,80.4789688051024
"MN11051/MN11328","MN11051","MN11328",76.24811202,62.432431532858,14.7603709218178,79.1289688051024
"MN11051/MN11439","MN11051","MN11439",76.30522341,63.932431532858,15.0103709218178,83.6289688051024
"MN11051/MN11469","MN11051","MN11469",82.244808055,62.982431532858,14.0603709218178,80.2789688051024
"MN11051/MN11013","MN11051","MN11013",73.164096915,63.332431532858,15.4103709218178,81.1289688051024
"MN11051/MN11076","MN11051","MN11076",75.905443675,63.282431532858,14.8603709218178,77.7789688051024
"MN11051/MN11174","MN11051","MN11174",83.2157017,63.982431532858,14.2103709218178,79.9789688051024
"MN11051/MN11194","MN11051","MN11194",78.78956891,62.932431532858,15.1103709218178,80.2789688051024
"MN11051/MN11197","MN11051","MN11197",76.73355884,63.682431532858,14.7103709218178,77.9789688051024
"MN11051/MN11252","MN11051","MN11252",81.616582755,63.132431532858,14.1103709218178,79.6289688051024
"MN11051/MN11274","MN11051","MN11274",73.792322215,63.982431532858,14.3603709218178,85.1289688051024
"MN11051/MN11368","MN11051","MN11368",81.47380428,63.432431532858,14.2603709218178,82.1289688051024
"MN11051/MN11404","MN11051","MN11404",82.73025488,63.332431532858,14.9603709218178,83.4789688051024
"MN11051/MN11468","MN11051","MN11468",79.018014475,64.482431532858,14.8103709218178,79.4789688051024
"MN11051/MN11494","MN11051","MN11494",80.30302077,62.982431532858,14.1103709218178,80.6289688051024
"MN11051/MN11495","MN11051","MN11495",83.78681561,63.682431532858,15.0103709218178,84.6289688051024
"MN11051/MN11159","MN11051","MN11159",88.75550661,62.982431532858,14.6103709218178,80.4789688051024
"MN11051/MN11264","MN11051","MN11264",80.245909375,62.482431532858,14.9103709218178,81.7789688051024
"MN11051/MN11506","MN11051","MN11506",84.186595345,63.232431532858,14.7103709218178,83.6289688051024
"MN11051/Albany","MN11051","Albany",87.81316866,63.232431532858,14.2103709218178,83.7789688051024
"MN11051/Briggs","MN11051","Briggs",76.847781625,63.082431532858,15.0103709218178,82.4789688051024
"MN11051/Vantage","MN11051","Vantage",77.41889553,64.332431532858,15.3103709218178,81.6289688051024
"MN11059/MN11061","MN11059","MN11061",86.69949654,64.082431532858,14.8103709218178,80.9789688051024
"MN11059/MN11090","MN11059","MN11090",86.12838263,63.232431532858,14.2603709218178,81.9789688051024
"MN11059/MN11095","MN11059","MN11095",88.75550661,63.132431532858,13.7603709218178,78.4789688051024
"MN11059/MN11142","MN11059","MN11142",88.412838265,63.982431532858,14.2603709218178,81.6289688051024
"MN11059/MN11148","MN11059","MN11148",85.32882316,63.082431532858,14.2103709218178,76.4789688051024
"MN11059/MN11169","MN11059","MN11169",83.444147265,64.182431532858,13.8603709218178,82.8289688051024
"MN11059/MN11202","MN11059","MN11202",88.212948395,63.982431532858,14.5103709218178,80.1289688051024
"MN11059/MN11210","MN11059","MN11210",87.213499055,62.632431532858,14.1103709218178,79.1289688051024
"MN11059/MN11243","MN11059","MN11243",85.58582442,62.782431532858,14.4603709218178,80.1289688051024
"MN11059/MN11268","MN11059","MN11268",90.411736945,63.632431532858,13.7603709218178,81.8289688051024
"MN11059/MN11297","MN11059","MN11297",84.500707995,63.332431532858,13.9603709218178,79.3289688051024
"MN11059/MN11317","MN11059","MN11317",89.98340151,63.132431532858,14.1103709218178,79.3289688051024
"MN11059/MN11330","MN11059","MN11330",87.898835745,63.232431532858,14.4103709218178,79.9789688051024
"MN11059/MN11395","MN11059","MN11395",84.90048773,62.482431532858,14.4603709218178,80.6289688051024
"MN11059/MN11397","MN11059","MN11397",86.64238515,63.232431532858,14.7603709218178,80.9789688051024
"MN11059/MN11415","MN11059","MN11415",83.70114852,63.432431532858,13.9603709218178,81.9789688051024
"MN11059/MN11433","MN11059","MN11433",75.61988672,62.582431532858,14.6103709218178,79.8289688051024
"MN11059/MN11484","MN11059","MN11484",84.90048773,62.382431532858,14.5103709218178,81.3289688051024
"MN11059/MN11490","MN11059","MN11490",84.75770925,63.332431532858,14.2103709218178,81.6289688051024
"MN11059/MN11497","MN11059","MN11497",89.01250787,63.132431532858,13.9603709218178,80.3289688051024
"MN11059/MN10036","MN11059","MN10036",84.32937382,62.882431532858,14.4103709218178,80.3289688051024
"MN11059/MN10052","MN11059","MN10052",83.27281309,63.832431532858,14.2103709218178,81.4789688051024
"MN11059/MN10061","MN11059","MN10061",92.324968535,64.282431532858,14.7103709218178,84.4789688051024
"MN11059/MN10077","MN11059","MN10077",83.501258655,63.832431532858,13.8603709218178,82.6289688051024
"MN11059/MN10079","MN11059","MN10079",86.242605415,63.132431532858,14.4103709218178,79.8289688051024
"MN11059/MN10095","MN11059","MN10095",87.44194462,63.432431532858,14.4603709218178,82.3289688051024
"MN11059/MN10099","MN11059","MN10099",91.03996224,63.632431532858,13.8103709218178,78.6289688051024
"MN11059/MN10106","MN11059","MN10106",80.61713342,62.382431532858,15.0103709218178,77.1289688051024
"MN11059/MN10110","MN11059","MN10110",88.527061045,63.982431532858,14.5603709218178,81.9789688051024
"MN11059/MN10117","MN11059","MN10117",81.47380428,63.432431532858,14.4103709218178,75.8289688051024
"MN11059/MN10125","MN11059","MN10125",87.984502835,63.432431532858,14.4103709218178,85.1289688051024
"MN11059/MN10159","MN11059","MN10159",86.44249528,63.282431532858,13.7603709218178,83.3289688051024
"MN11059/MN10162","MN11059","MN10162",83.15859031,62.882431532858,13.6603709218178,78.6289688051024
"MN11059/MN10164","MN11059","MN10164",90.268958465,63.332431532858,13.8103709218178,77.1289688051024
"MN11059/MN10177","MN11059","MN10177",90.011957205,62.782431532858,14.4103709218178,77.9789688051024
"MN11059/MN10183","MN11059","MN10183",87.356277535,62.582431532858,14.0603709218178,76.1289688051024
"MN11059/MN10187","MN11059","MN10187",89.041063565,64.132431532858,15.0103709218178,80.8289688051024
"MN11059/MN10190","MN11059","MN10190",82.444697925,63.432431532858,14.3603709218178,80.4789688051024
"MN11059/MN10195","MN11059","MN10195",85.357378855,64.082431532858,14.4603709218178,85.2789688051024
"MN11059/MN10202","MN11059","MN10202",81.873584015,64.082431532858,14.2103709218178,80.9789688051024
"MN11059/MN10205","MN11059","MN10205",84.415040905,63.232431532858,14.2603709218178,86.3289688051024
